 ,post_title,post_author,post_date,post_type,post_status,date,open,high,low,close,volume_shares,value_mmk,companies,market_capitalization
42,27th Jul. 2016,admin,7/27/2016 0:00,company_1,publish,20160727,20000,20000,20000,20000,2438,47560000,23480013,469600
43,26th Jul. 2016,admin,7/26/2016 0:00,company_1,publish,20160726,20000,20000,20000,20000,2434,48680000,23480013,469600
44,25th Jul. 2016,admin,7/25/2016 0:00,company_1,publish,20160725,19500,20000,19500,20000,4119,81120500,23480013,469600
45,22nd Jul. 2016,admin,7/22/2016 0:00,company_1,publish,20160722,20000,20000,20000,20000,5051,101020000,23480013,469600
46,21st Jul. 2016,admin,7/21/2016 0:00,company_1,publish,20160721,20000,20500,20000,20500,2264,45327000,23480013,481340
47,20th Jul. 2016,admin,7/20/2016 0:00,company_1,publish,20160720,20500,20500,20500,20500,1429,29294500,23480013,481340
48,18th Jul. 2016,admin,7/18/2016 0:00,company_1,publish,20160718,21000,21000,20500,20500,4543,93478500,23480013,481340
49,15th Jul. 2016,admin,7/15/2016 0:00,company_1,publish,20160715,21000,21000,21000,21000,1987,41727000,23480013,493080
50,14th Jul. 2016,admin,7/14/2016 0:00,company_1,publish,20160714,20500,20500,20500,20500,3686,75563000,23480013,481340
51,13th Jul. 2016,admin,7/13/2016 0:00,company_1,publish,20160713,20000,20000,20000,20000,6197,123940000,23480013,469600
52,12th Jul. 2016,admin,7/12/2016 0:00,company_1,publish,20160712,20000,20000,20000,20000,5711,114220000,23480013,469600
53,11th Jul. 2016,admin,7/11/2016 0:00,company_1,publish,20160711,20500,20500,20500,20500,4185,85792500,23480013,481340
54,8th Jul. 2016,admin,7/8/2016 0:00,company_1,publish,20160708,21000,21000,20500,20500,2365,49307500,23480013,481340
55,7th Jul. 2016,admin,7/7/2016 0:00,company_1,publish,20160707,21000,21000,21000,21000,2371,49791000,23480013,493080
56,6th Jul. 2016,admin,7/6/2016 0:00,company_1,publish,20160706,21000,21000,21000,21000,6750,141750000,23480013,493080
57,5th Jul. 2016,admin,7/5/2016 0:00,company_1,publish,20160705,21500,21500,21000,21000,2340,49905000,23480013,493080
58,4th Jul. 2016,admin,7/4/2016 0:00,company_1,publish,20160704,22000,22000,21000,21000,3177,67686000,23480013,493080
59,1st Jul. 2016,admin,7/1/2016 0:00,company_1,publish,20160701,22000,22000,22000,22000,3924,86328000,23480013,516560
60,30th Jun. 2016,admin,6/30/2016 0:00,company_1,publish,20160630,23000,23000,22000,22000,4184,94426000,23480013,516560
61,29th Jun. 2016,admin,6/29/2016 0:00,company_1,publish,20160629,22000,23000,22000,23000,6927,155319000,23480013,540040
62,28th Jun. 2016,admin,6/28/2016 0:00,company_1,publish,20160628,20000,20500,20000,20500,12530,254912000,23480013,481340
63,27th Jun. 2016,admin,6/27/2016 0:00,company_1,publish,20160627,24000,24000,23500,23500,9387,222532000,23480013,551780
64,24th Jun. 2016,admin,6/24/2016 0:00,company_1,publish,20160624,25000,25000,25000,25000,2772,69300000,23480013,587000
65,23rd Jun. 2016,admin,6/23/2016 0:00,company_1,publish,20160623,25500,25500,25500,25500,1764,44982000,23480013,598740
66,22nd Jun. 2016,admin,6/22/2016 0:00,company_1,publish,20160622,25500,26000,25500,26000,1785,45567500,23480013,610480
67,21st Jun. 2016,admin,6/21/2016 0:00,company_1,publish,20160621,25500,25500,25500,25500,2555,65152500,23480013,598740
68,20th Jun. 2016,admin,6/20/2016 0:00,company_1,publish,20160620,25000,25000,25000,25000,4400,110000000,23480013,587000
69,17th Jun. 2016,admin,6/17/2016 0:00,company_1,publish,20160617,25000,26000,25000,26000,6679,170526000,23480013,610480
70,16th Jun. 2016,admin,6/16/2016 0:00,company_1,publish,20160616,25500,25500,25000,25000,14311,359151500,23480013,587000
71,15th Jun. 2016,admin,6/15/2016 0:00,company_1,publish,20160615,25500,25500,25500,25500,3376,86088000,23480013,598740
72,14th Jun. 2016,admin,6/14/2016 0:00,company_1,publish,20160614,25500,25500,25500,25500,3204,81702000,23480013,598740
